time,balance,unrealizedPL,pl,benchmark
2024-04-16 12:46:46,94268.8576,-18.5745,-5722.8811,1.06114
2024-04-16 12:46:46,94268.8576,-18.5745,-5722.8811,1.06114
2024-04-16 12:47:18,94234.5201,-33.6122,-5757.2186,1.06114
2024-04-16 12:47:34,94234.5201,-52.059,-5757.2186,1.06114
2024-04-16 12:47:46,94234.5201,-152.7844,-5757.2186,1.06112
2024-04-16 12:48:04,94200.693,-152.2681,-5791.0457,1.06112
2024-04-16 12:48:45,94179.8361,-171.0623,-5811.9026,1.06114
2024-04-16 12:48:46,94179.8361,-171.0623,-5811.9026,1.06112
2024-04-16 12:49:46,94179.8361,-114.5254,-5811.9026,1.06113
2024-04-16 12:49:46,94179.8361,-114.5254,-5811.9026,1.06113
2024-04-16 12:50:46,94173.1618,344.9215,-5818.5769,1.06121
2024-04-16 12:51:25,94173.1618,354.4274,-5818.5769,1.06121
2024-04-16 12:51:36,94173.1618,354.4274,-5818.5769,1.06121
2024-04-16 12:51:46,94173.1618,468.0656,-5818.5769,1.06123
2024-04-16 12:52:07,94173.1618,527.7449,-5818.5769,1.06124
2024-04-16 12:52:37,94173.1618,528.1737,-5818.5769,1.06124
2024-04-16 12:52:45,94173.1618,530.8924,-5818.5769,1.06124
2024-04-16 12:53:07,94173.1618,529.5364,-5818.5769,1.06124
2024-04-16 12:53:37,94173.1618,182.5146,-5818.5769,1.06124
2024-04-16 12:53:46,94173.1618,182.4899,-5818.5769,1.06118
2024-04-16 12:54:35,94173.1618,419.2114,-5818.5769,1.06122
